clip,true,Hao baseline,V1.4 BiLSTM-CNN,V2.0 ST-GCN,V2.4 MS-G3D,Ens V2.3 (V1.4+V2.0),Ens (V1.4+V2.4)
normal/normal-89.csv,0,0.6539543,0.3439147,0.2243111,0.45785457,0.2841129,0.40088463
normal/normal-9.csv,0,0.5107457,0.29897642,0.28321558,0.27527744,0.291096,0.28712696
normal/normal-90.csv,0,0.9153704,0.380337,0.30871174,0.544419,0.34452435,0.46237797
shoplifting/shoplifting-1.csv,1,0.9681209,0.5871312,0.3262408,0.57077235,0.456686,0.5789518
shoplifting/shoplifting-10.csv,1,0.80362177,0.7113689,0.2838851,0.13899583,0.49762696,0.42518234
shoplifting/shoplifting-11.csv,1,0.98867065,0.7536438,0.3542256,0.66523635,0.5539347,0.70944
shoplifting/shoplifting-12.csv,1,0.8667397,0.7504413,0.36245507,0.5078924,0.5564482,0.62916684
shoplifting/shoplifting-13.csv,1,0.84937114,0.63694453,0.44855213,0.73317385,0.54274833,0.68505913
shoplifting/shoplifting-14.csv,1,0.9841027,0.6131749,0.47911984,0.69179857,0.54614735,0.6524868
shoplifting/shoplifting-15.csv,1,0.9658717,0.68617594,0.32367295,0.7629206,0.5049245,0.7245483
shoplifting/shoplifting-16.csv,1,0.996179,0.73265564,0.37660062,0.52054167,0.55462813,0.62659866
shoplifting/shoplifting-17.csv,1,0.9573699,0.64869666,0.33329985,0.6172745,0.49099827,0.6329856
shoplifting/shoplifting-18.csv,1,0.8925702,0.68967414,0.5379292,0.7472098,0.6138017,0.71844196
shoplifting/shoplifting-19.csv,1,0.9761167,0.7152142,0.39634857,0.55640644,0.55578136,0.6358103
shoplifting/shoplifting-20.csv,1,0.99453187,0.67359567,0.40829477,0.5066755,0.5409452,0.5901356
shoplifting/shoplifting-21.csv,1,0.9356415,0.33333868,0.3494436,0.66790307,0.34139115,0.50062084
shoplifting/shoplifting-22.csv,1,0.9860941,0.66471875,0.5857023,0.7550889,0.6252105,0.70990384
shoplifting/shoplifting-23.csv,1,0.9966113,0.7810773,0.39394066,0.62374234,0.587509,0.70240986
shoplifting/shoplifting-24.csv,1,0.98729944,0.6202025,0.29825184,0.7894224,0.45922714,0.7048124
shoplifting/shoplifting-25.csv,1,0.8925067,0.5730822,0.49477515,0.49672768,0.53392863,0.53490496
shoplifting/shoplifting-26.csv,1,0.9793316,0.66770494,0.4610842,0.8007279,0.5643946,0.73421645
shoplifting/shoplifting-27.csv,1,0.90384614,0.64562106,0.5199932,0.6975622,0.5828071,0.67159164
shoplifting/shoplifting-28.csv,1,0.9642296,0.6986253,0.4452136,0.697802,0.5719195,0.6982137
shoplifting/shoplifting-29.csv,1,0.67189,0.62566775,0.45491326,0.4776236,0.54029053,0.5516457
shoplifting/shoplifting-3.csv,1,0.9786198,0.73823076,0.40468222,0.79581475,0.5714565,0.7670228
shoplifting/shoplifting-30.csv,1,0.8021039,0.5829023,0.36478257,0.712255,0.47384244,0.64757866
shoplifting/shoplifting-36.csv,1,0.9874849,0.78731,0.34695467,0.7288709,0.5671323,0.7580905
shoplifting/shoplifting-39.csv,1,0.9735387,0.6075862,0.3784344,0.6571247,0.4930103,0.63235545
shoplifting/shoplifting-40.csv,1,0.9515321,0.53293514,0.4151315,0.7139788,0.4740333,0.62345695
shoplifting/shoplifting-41.csv,1,0.97130346,0.62486875,0.34781855,0.61034274,0.48634368,0.61760575
shoplifting/shoplifting-42.csv,1,0.9994514,0.89674747,0.55557805,0.5882889,0.72616273,0.7425182
shoplifting/shoplifting-43.csv,1,0.8699608,0.6356444,0.19529514,0.5416815,0.41546977,0.588663
shoplifting/shoplifting-44.csv,1,0.9275566,0.6353807,0.2720003,0.6774919,0.45369053,0.65643626
shoplifting/shoplifting-45.csv,1,0.92160463,0.61067605,0.16395502,0.49310097,0.3873155,0.55188847
shoplifting/shoplifting-46.csv,1,0.72074825,0.33699647,0.11500166,0.62081945,0.22599906,0.47890794
shoplifting/shoplifting-48.csv,1,0.97704494,0.5842955,0.29010233,0.5490514,0.4371989,0.56667346
shoplifting/shoplifting-5.csv,1,0.71996146,0.47252136,0.23231997,0.6671756,0.3524207,0.5698485
shoplifting/shoplifting-51.csv,1,0.94448495,0.69393134,0.45118135,0.6798161,0.5725563,0.68687373
shoplifting/shoplifting-52.csv,1,0.9628284,0.64819705,0.3554575,0.66434073,0.5018273,0.65626884
shoplifting/shoplifting-53.csv,1,0.98169166,0.69390893,0.38464054,0.75083995,0.5392747,0.72237444
shoplifting/shoplifting-54.csv,1,0.98611385,0.71037644,0.3955892,0.65952235,0.55298287,0.6849494
shoplifting/shoplifting-55.csv,1,0.9769201,0.63943624,0.35486367,0.49488765,0.49714994,0.5671619
shoplifting/shoplifting-56.csv,1,0.9707234,0.6250919,0.40832564,0.77834743,0.5167088,0.7017197
shoplifting/shoplifting-57.csv,1,0.9791682,0.6555768,0.42361885,0.7930313,0.5395978,0.7243041
shoplifting/shoplifting-58.csv,1,0.8545827,0.48978204,0.28457594,0.4629767,0.38717902,0.4763794
shoplifting/shoplifting-59.csv,1,0.83250415,0.42917514,0.27303272,0.5026648,0.35110393,0.46591997
shoplifting/shoplifting-60.csv,1,0.7677594,0.7300942,0.27837676,0.13055727,0.5042355,0.43032578
shoplifting/shoplifting-61.csv,1,0.8759537,0.6960379,0.28212625,0.6767911,0.48908207,0.6864145
shoplifting/shoplifting-62.csv,1,0.91399217,0.7119658,0.3121965,0.6557297,0.51208115,0.6838478
shoplifting/shoplifting-63.csv,1,0.8642645,0.7336947,0.3918218,0.5322287,0.5627582,0.63296175
shoplifting/shoplifting-64.csv,1,0.8109937,0.7339723,0.35127005,0.5006946,0.54262125,0.6173335
shoplifting/shoplifting-65.csv,1,0.9397508,0.6504304,0.4089541,0.7638421,0.52969223,0.7071363
shoplifting/shoplifting-66.csv,1,0.787578,0.642242,0.4175677,0.6479399,0.52990484,0.64509094
shoplifting/shoplifting-67.csv,1,0.73968506,0.5962535,0.47345215,0.7275985,0.5348528,0.661926
shoplifting/shoplifting-68.csv,1,0.6745793,0.61062086,0.3583932,0.6482837,0.48450702,0.6294523
shoplifting/shoplifting-69.csv,1,0.82860065,0.63340497,0.36851603,0.71472234,0.5009605,0.6740637
shoplifting/shoplifting-7.csv,1,0.9623198,0.6673818,0.45910412,0.7902357,0.563243,0.72880876
shoplifting/shoplifting-70.csv,1,0.7332738,0.5865573,0.30651426,0.6342132,0.44653583,0.6103853
shoplifting/shoplifting-71.csv,1,0.74747455,0.58926994,0.24638423,0.7926779,0.41782707,0.6909739
shoplifting/shoplifting-72.csv,1,0.99161035,0.7411878,0.46304888,0.7144203,0.6021184,0.72780406
shoplifting/shoplifting-73.csv,1,0.970983,0.68351793,0.4946328,0.8175454,0.5890754,0.7505317
shoplifting/shoplifting-74.csv,1,0.9979422,0.6851511,0.6313757,0.7657584,0.6582634,0.7254548
shoplifting/shoplifting-75.csv,1,0.96611077,0.62954897,0.38155356,0.81363153,0.5055513,0.72159034
shoplifting/shoplifting-76.csv,1,0.99435586,0.58748126,0.58742213,0.68333644,0.58745164,0.63540876
shoplifting/shoplifting-77.csv,1,0.8984943,0.6289351,0.29061767,0.6161698,0.4597764,0.6225525
shoplifting/shoplifting-78.csv,1,0.99480766,0.7501079,0.2993412,0.71191025,0.52472454,0.731009
shoplifting/shoplifting-79.csv,1,0.9679421,0.43339944,0.4238351,0.4457944,0.4286173,0.43959695
shoplifting/shoplifting-8.csv,1,0.9588892,0.58380836,0.33904484,0.71662974,0.46142656,0.650219
shoplifting/shoplifting-80.csv,1,0.9991135,0.82397604,0.5488992,0.80639434,0.6864376,0.8151851
shoplifting/shoplifting-81.csv,1,0.9978547,0.8000951,0.5830365,0.6928923,0.69156575,0.7464937
shoplifting/shoplifting-82.csv,1,0.99678105,0.7690638,0.528222,0.6102456,0.6486429,0.68965465
shoplifting/shoplifting-83.csv,1,0.99927366,0.8214985,0.50157857,0.91823786,0.66153854,0.86986816
shoplifting/shoplifting-84.csv,1,0.90704703,0.61655235,0.42976108,0.67434853,0.52315676,0.6454504
shoplifting/shoplifting-85.csv,1,0.9815516,0.6706595,0.584878,0.70468307,0.62776875,0.68767136
shoplifting/shoplifting-86.csv,1,0.99517184,0.67941463,0.5832679,0.7778104,0.6313413,0.7286125
shoplifting/shoplifting-87.csv,1,0.93862385,0.65845656,0.3546314,0.5151282,0.506544,0.5867923
shoplifting/shoplifting-88.csv,1,0.7962581,0.44816107,0.30050376,0.6178083,0.37433243,0.5329847
shoplifting/shoplifting-89.csv,1,0.9020182,0.61706656,0.3616411,0.7168799,0.48935387,0.6669733
shoplifting/shoplifting-9.csv,1,0.9927652,0.67094064,0.38816565,0.7243692,0.5295532,0.69765496
shoplifting/shoplifting-90.csv,1,0.8854364,0.5741955,0.29827124,0.71524674,0.43623337,0.64472115
shoplifting/shoplifting-92.csv,1,0.97872305,0.50511885,0.31330642,0.556666,0.40921268,0.5308925
shoplifting/shoplifting-93.csv,1,0.93722034,0.5439297,0.30532077,0.59021956,0.42462525,0.56707454
